sample.samplingPoint.notation,sample.samplingPoint.label,sample.sampleDateTime,Oxygen Diss,Temp Water,pH,ln Turd,ln Cond,ln Coliform
SW-81520593,RIVER FOWEY AT HARROWBRIDGE,2022-08-04T10:45:00,9.7,15.1,6.66,0,4.343805422,5.886104031
NW-88004590,RIVER CRAKE AT WATER YEAT,2022-08-03T11:15:00,8.74,16.8,7.01,0.262364264,4.007333185,6.040254711
SW-91241149,RIVER INNY U/S A30,2022-08-02T13:53:00,9.56,18.3,8.49,1.808288771,7.863266724,7.824046011
SW-72915015,WESTWARD HO! BEACH (33900),2022-08-02T12:25:00,9.46,20.6,8.21,0.641853886,6.234410726,2.302585093
TH-PGWL0217,"SERPENTINE AT OUTLET, HYDE PARK",2022-08-01T12:31:00,8.83,23.1,9.24,2.302585093,7.252762418,3.583518938
TH-PGWB0004,BATHING WATER - THE SERPENTINE (11940),2022-08-01T12:17:00,6.86,22.4,9.81,2.128231706,7.255591274,6.363028104
TH-PGWL0215,SERPENTINE AT INLET FROM DIANA BH,2022-08-01T12:12:00,8.75,22.8,9.19,2.091864062,7.252053952,3.583518938
TH-PGWL0214,"PRINCESS DIANA FOUNTAIN, HYDE PARK",2022-08-01T12:02:00,9.14,19.1,8.39,0,7.344072851,4.941642423
TH-PGWL0216,LONG WATER AT INLET FROM ITALIAN GDNS BH,2022-08-01T11:11:00,5.36,22,9,1.740466175,7.252053952,2.302585093
SW-50450129,RIVER PIDDLE AT WEST MILLS,2022-07-28T12:32:00,10.2,17,7.98,0,6.261491684,4.49980967
TH-PRTS0040,LAKE SOUTH OF GREEN LN,2022-07-27T14:51:00,5.78,21.6,7.65,0.955511445,6.476972363,2.302585093
TH-PRTS0046,THAMES U/S OF RUNNYMEDE CHANNEL INTAKE,2022-07-27T12:55:00,8.2,20.7,7.88,1.029619417,6.65929392,4.86753445
NW-88024648,DUBBS BECK AT CAPPLE HOWE IMPOUNDMENT,2022-07-27T12:05:00,8.81,16.1,7.31,1.252762968,4.762173935,4.86753445
TH-PRTS0038,"MEAD LAKE DITCH, U/S INTERSECTION",2022-07-27T11:55:00,2.84,18.6,7.45,1.064710737,6.461468176,4.700480366
NW-88024649,DUBBS BECK U/S DUBBS RESERVOIR,2022-07-27T11:50:00,10.5,12.3,7.44,0,4.718498871,2.890371758
NW-88023151,RIVER GOWAN @ STUBBINGS BRIDGE,2022-07-27T11:20:00,7.94,16.1,7.17,0.955511445,4.584967479,2.890371758
NW-88004397,RIVER KENT AT SEDGEWICK,2022-07-27T10:40:00,9.87,15.9,8.07,0.182321557,5.241747015,5.393627546
TH-PRTS0059,LITTLETON NORTH,2022-07-26T14:24:00,8.5,22.6,8.17,2.054123734,6.445719819,2.302585093
TH-PRTS0057,THAMES U/S OF SPELTHORNE CHANNEL INTAKE,2022-07-26T12:49:00,8,21.8,6.37,1.987874348,6.620073207,4.941642423
TH-PGWL0216,LONG WATER AT INLET FROM ITALIAN GDNS BH,2022-07-25T13:39:00,9.41,21.8,8.84,1.131402111,7.25488481,3.583518938
TH-PGWB0004,BATHING WATER - THE SERPENTINE (11940),2022-07-25T12:40:00,11.1,23.1,9.39,2.066862759,7.242797923,6.345636361
TH-PGWL0217,"SERPENTINE AT OUTLET, HYDE PARK",2022-07-25T12:03:00,11.9,23.2,9.43,2.128231706,7.243512975,6.756932389
TH-PGWL0215,SERPENTINE AT INLET FROM DIANA BH,2022-07-25T11:13:00,10.8,22.7,9.32,2.028148247,7.247792582,5.075173815
TH-PGWL0214,"PRINCESS DIANA FOUNTAIN, HYDE PARK",2022-07-25T10:59:00,9.02,18.9,8.28,1.360976553,7.342779189,4.787491743
SW-81914940,COVERACK BEACH (29100),2022-07-21T12:50:00,9.5,20.5,7.54,0,3.988984047,2.302585093
NE-49000700,ESK AT BRIGGSWATH FOOTBRIDGE,2022-07-20T14:52:00,8.45,21.4,8.21,1.386294361,5.736572297,5.010635294
TH-PRTS0064,FERRY LANE BRPS,2022-07-19T16:09:00,8.78,27.2,8.45,0.741937345,6.131226489,2.302585093
TH-PRTS0041,MANOR LAKE,2022-07-19T13:39:00,9.69,26.8,8.34,0.470003629,6.492239835,2.302585093
TH-PRTS0060,LITTLETON EAST,2022-07-19T13:32:00,11.44,26.6,8.65,0.955511445,6.327936784,3.295836866
TH-PRTS0039,ST ANNS LAKE,2022-07-19T12:46:00,8.26,27.3,8.72,2.63905733,6.345636361,4.86753445
TH-PRTS0043,FLEET LAKE,2022-07-19T12:25:00,8.9,26.1,8.11,0.993251773,6.476972363,2.302585093
TH-PRTS0048,ABBEY LAKE,2022-07-19T11:01:00,10.53,26,8.3,0.182321557,6.396929655,2.302585093
TH-PRTS0021,SILVERWINGS,2022-07-19T11:00:00,11.48,25.4,9.12,0.693147181,6.063785209,2.302585093
NW-88009869,WALNEY BIGGAR BANK AT BIGGAR BANK 44200,2022-07-15T11:00:00,9.68,14.6,8.09,2.302585093,6.095824562,7.495541944
SW-82515050,PORTH SPRING AT PORTH BEACH SLIPWAY,2022-07-15T10:04:00,10,11.4,7.55,0.405465108,6.352629396,6.877296071
AN-48M08,R.WISSEY ICKBURGH RD.BR.,2022-07-11T15:17:00,10.6,19.2,8.14,0.336472237,6.49375384,2.890371758
NW-88004590,RIVER CRAKE AT WATER YEAT,2022-07-08T10:55:00,9.59,17.6,7.4,0.182321557,4.060443011,5.828945618
SW-70811815,COMBE STREAM AT SALCOMBE SOUTH SANDS,2022-07-06T13:10:00,11.4,15.6,8.56,0,5.669880923,5.298317367
SW-91241149,RIVER INNY U/S A30,2022-07-05T15:10:00,10.4,14,8.53,0.09531018,7.696212639,6.492239835
SW-81915062,CHURCH COVE (29501),2022-07-05T14:40:00,9.91,13.1,6.38,0,4.276666119,2.302585093
SW-81520521,RIVER FOWEY AT DRAYNES BRIDGE,2022-07-05T14:15:00,10.3,14.3,6.72,0,4.304065093,5.192956851
SW-81522326,WARLEGGAN RIVER AT PANTERS BRIDGE,2022-07-05T13:51:00,10.8,13.5,7.31,0,4.521788577,5.940171253
TH-PRTS0041,MANOR LAKE,2022-06-27T14:32:00,9.56,20.5,8.09,1.193922468,6.476972363,2.302585093
TH-PRTS0043,FLEET LAKE,2022-06-27T14:11:00,9.55,20.8,8.1,1.223775432,6.492239835,2.302585093
TH-PRTS0048,ABBEY LAKE,2022-06-27T13:25:00,11.01,21.2,8.3,1.280933845,6.413458957,2.302585093
TH-PRTS0060,LITTLETON EAST,2022-06-27T13:01:00,9.19,20.2,8.22,0.182321557,6.396929655,2.302585093
TH-PRTS0039,ST ANNS LAKE,2022-06-27T12:20:00,12.24,21.6,8.43,0.182321557,6.380122537,3.583518938
TH-PRTS0064,FERRY LANE BRPS,2022-06-27T11:48:00,8.27,20.3,8.19,0.262364264,6.109247583,2.302585093
TH-PRTS0021,SILVERWINGS,2022-06-27T10:31:00,9.71,20.7,8.52,0.470003629,6.086774727,2.302585093
TH-PRTS0057,THAMES U/S OF SPELTHORNE CHANNEL INTAKE,2022-06-24T11:41:00,8.55,20.8,8.15,1.335001067,6.606650186,3.80666249
TH-PRTS0059,LITTLETON NORTH,2022-06-23T09:17:00,9.2,21.6,8.23,1.887069649,6.445719819,4.276666119
TH-PRTS0046,THAMES U/S OF RUNNYMEDE CHANNEL INTAKE,2022-06-16T14:59:00,10.05,22.2,8.1,0.78845736,6.606650186,5.010635294
TH-PRTS0038,"MEAD LAKE DITCH, U/S INTERSECTION",2022-06-16T12:36:00,13.2,20.6,8.23,0.405465108,6.522092798,5.010635294
TH-PRTS0040,LAKE SOUTH OF GREEN LN,2022-06-16T11:26:00,14.21,22.4,8.32,0.470003629,6.620073207,2.890371758
NE-49700249,WHARFE AT GRASSINGTON B6265 BRIDGE,2022-05-04T13:41:00,12,12.7,8.59,0.182321557,5.843544417,3.583518938
SW-82515060,MAWGAN PORTH BEACH (32500),2022-05-04T11:35:00,10.3,12.4,7.95,1.280933845,5.758901774,2.302585093
NW-88003872,RIVER WYRE AT ST MICHAELS,2022-04-08T09:08:00,11.6,6.1,7.62,2.890371758,5.176149733,8.411832676
SW-72920121,RIVER TORRIDGE AT BEAM BRIDGE,2022-03-25T11:15:00,12.2,9.2,7.96,1.435084525,5.192956851,3.80666249
SW-70220159,RIVER AXE AT WHITFORD BRIDGE,2022-03-21T13:23:00,12.4,9.3,8.37,1.504077397,6.159095388,6.345636361
MD-57403450,RIVER MANIFOLD - ILAM,2022-03-11T08:56:00,10.7,8.1,7.42,0.641853886,6.186208624,4.143134726
MD-57464620,RIVER HAMPS - WINKHILL,2022-03-11T08:23:00,11.8,7.9,8.12,1.386294361,5.910796644,5.669880923
SW-81520205,RIVER FOWEY AT RESPRYN BRIDGE,2022-03-08T15:19:00,11.7,8.9,7.45,0.916290732,4.787491743,5.768320996
NW-88003872,RIVER WYRE AT ST MICHAELS,2022-03-08T14:00:00,11.9,5.6,7.72,1.987874348,5.598421959,6.768493212
AN-48M08,R.WISSEY ICKBURGH RD.BR.,2022-03-08T13:50:00,12.3,7.1,8.2,0.875468737,6.553933404,5.598421959
SW-81522326,WARLEGGAN RIVER AT PANTERS BRIDGE,2022-03-08T13:06:00,11.8,8.6,7.49,0.262364264,4.532599493,2.890371758
SW-81520521,RIVER FOWEY AT DRAYNES BRIDGE,2022-03-08T12:02:00,12.1,7.4,7.44,0.182321557,4.521788577,2.890371758
NW-88004397,RIVER KENT AT SEDGEWICK,2022-03-07T14:20:00,13.5,5.8,8.09,0,5.220355825,5.634789603
NW-88023151,RIVER GOWAN @ STUBBINGS BRIDGE,2022-03-07T12:50:00,13,5.6,7.69,0.641853886,4.304065093,2.302585093
NW-88024649,DUBBS BECK U/S DUBBS RESERVOIR,2022-03-07T12:30:00,12.1,7,7.23,0.09531018,4.477336814,2.302585093
NW-88024648,DUBBS BECK AT CAPPLE HOWE IMPOUNDMENT,2022-03-07T12:15:00,12.8,5.4,7.38,0,4.356708827,2.302585093
SW-82528154,RIVER CAMEL AT CAMELFORD BRIDGE,2022-03-07T11:40:00,11.9,7.8,7.18,0.470003629,4.997212274,7.003065459
SW-82528110,RIVER CAMEL AT TRECARNE BRIDGE,2022-03-07T11:10:00,12.1,7.2,7.14,0.832909123,4.983606622,6.697034248
SW-82528005,RIVER CAMEL AT POLBROCK,2022-03-07T09:27:00,12,7.3,7.46,0.955511445,5.159055299,5.598421959
SO-E0007051,SWALECLIFFE BROOK,2022-03-04T13:17:00,12,8.3,8.02,3.555348061,6.327936784,6.633318433
AN-48M08,R.WISSEY ICKBURGH RD.BR.,2022-02-15T12:50:00,11.6,7.5,8.11,1.871802177,6.552507887,6.445719819
NW-88003872,RIVER WYRE AT ST MICHAELS,2022-02-11T12:20:00,12,5.1,7.76,1.30833282,5.468060141,7.090076836
NW-88004397,RIVER KENT AT SEDGEWICK,2022-02-09T13:45:00,12.5,7.5,7.91,0.641853886,4.94875989,5.991464547
NW-88023151,RIVER GOWAN @ STUBBINGS BRIDGE,2022-02-09T10:30:00,12.7,5.8,7.54,0.336472237,4.304065093,4.787491743
NW-88024648,DUBBS BECK AT CAPPLE HOWE IMPOUNDMENT,2022-02-09T10:10:00,12.6,5.7,7.3,0,4.304065093,2.302585093
NW-88024649,DUBBS BECK U/S DUBBS RESERVOIR,2022-02-09T10:00:00,11.7,7.1,7.02,0,4.406719247,3.295836866
MD-57403450,RIVER MANIFOLD - ILAM,2022-02-08T10:11:00,11.4,8,7.64,2.48490665,5.860786223,6.363028104
MD-57464620,RIVER HAMPS - WINKHILL,2022-02-08T09:50:00,12.1,7.5,8.09,1.85629799,5.717027701,6.272877007
SW-72920121,RIVER TORRIDGE AT BEAM BRIDGE,2022-02-07T10:50:00,11.3,7.8,7.69,3.555348061,5.111987788,8.101677747
SO-E0007051,SWALECLIFFE BROOK,2022-02-03T12:48:00,12.2,8.4,8.28,2.63905733,6.788971743,8.006367568
SW-81522326,WARLEGGAN RIVER AT PANTERS BRIDGE,2022-02-02T12:24:00,11.8,9.4,7.1,0.470003629,4.532599493,2.890371758
SW-81520348,RIVER FOWEY AT HALFWAY HOUSE BRIDGE,2022-02-02T12:11:00,11.8,9,7.24,0.262364264,4.564348191,4.143134726
SW-81520521,RIVER FOWEY AT DRAYNES BRIDGE,2022-02-02T11:13:00,12,8.5,6.7,0.336472237,4.33073334,5.736572297
SW-81520350,RIVER FOWEY AT BODITHIEL BRIDGE,2022-02-02T10:54:00,11.8,8.9,7.24,0.09531018,4.532599493,4.143134726
SW-81520166,RIVER FOWEY AT RESTORMEL,2022-02-02T09:59:00,11.8,9.1,7.15,0,4.727387819,4.700480366
SW-81520205,RIVER FOWEY AT RESPRYN BRIDGE,2022-02-02T09:37:00,11.8,9.1,7.1,0.09531018,4.700480366,5.347107531
SW-82528110,RIVER CAMEL AT TRECARNE BRIDGE,2022-02-01T13:55:00,11.5,9.5,7.14,0.693147181,5.017279837,7.549609165
SW-82528154,RIVER CAMEL AT CAMELFORD BRIDGE,2022-02-01T13:13:00,11.6,9.6,7.58,0.405465108,5.030437921,7.783224016
SW-70220159,RIVER AXE AT WHITFORD BRIDGE,2022-02-01T11:27:00,12.1,7.2,8.32,2.104134154,6.126869184,6.040254711
SW-82528005,RIVER CAMEL AT POLBROCK,2022-02-01T11:15:00,11.4,9,7.43,0,5.187385806,5.913503006
NE-49705106,WHARFE AT ADDINGHAM,2022-01-25T15:14:00,14.3,4.6,8.39,0.587786665,5.697093487,5.010635294
NE-49705092,FIR BECK AT HAUGH BRIDGE,2022-01-25T14:21:00,12.7,5.6,8.17,0.09531018,5.739792912,3.80666249
NE-49700224,DIBB AT HARTLINGTON BRIDGE,2022-01-25T13:54:00,13.3,3.9,7.59,1.609437912,4.158883083,4.59511985
NE-49705101,BLEA BECK U/S GRIMWITH RESERVOIR,2022-01-25T12:57:00,13.7,2.4,7.46,2.186051277,4.007333185,2.890371758
MD-57403450,RIVER MANIFOLD - ILAM,2022-01-24T10:42:00,11,7,7.7,2.261763098,6.184148891,5.393627546
MD-57464620,RIVER HAMPS - WINKHILL,2022-01-24T10:10:00,11.3,3.5,8,1.722766598,5.739792912,6.522092798
NW-88004397,RIVER KENT AT SEDGEWICK,2022-01-18T13:10:00,12.6,6,7.9,0,5.283203729,6.152732695
NW-88023151,RIVER GOWAN @ STUBBINGS BRIDGE,2022-01-18T11:16:00,13.4,3.9,7.49,0,4.343805422,2.302585093
NW-88024648,DUBBS BECK AT CAPPLE HOWE IMPOUNDMENT,2022-01-18T10:59:00,13,4.2,7.4,0.09531018,4.430816799,2.302585093
NW-88024649,DUBBS BECK U/S DUBBS RESERVOIR,2022-01-18T10:48:00,11.9,6.9,7.26,0,4.49980967,2.302585093
SO-E0007051,SWALECLIFFE BROOK,2022-01-13T09:48:00,12.9,4.6,8.12,4.077537444,6.606650186,8.268731832
SW-82528110,RIVER CAMEL AT TRECARNE BRIDGE,2022-01-11T13:16:00,11.1,10.6,7.25,1.131402111,4.9698133,7.090076836
SW-82528154,RIVER CAMEL AT CAMELFORD BRIDGE,2022-01-11T12:51:00,11.2,10.3,7.26,0.641853886,5.017279837,8.070906089
SW-82528005,RIVER CAMEL AT POLBROCK,2022-01-11T10:29:00,10.6,10.5,7.31,0.530628251,5.087596335,6.507277712
SW-70220159,RIVER AXE AT WHITFORD BRIDGE,2022-01-10T12:48:00,11,8,7.99,3.433987204,5.918893854,7.783224016
NW-88003872,RIVER WYRE AT ST MICHAELS,2022-01-06T13:45:00,12.5,3.8,7.42,2.028148247,5.472270674,6.551080335
SW-81520166,RIVER FOWEY AT RESTORMEL,2022-01-04T15:00:00,10.8,9.2,7.18,0.530628251,4.762173935,5.298317367
SW-81520205,RIVER FOWEY AT RESPRYN BRIDGE,2022-01-04T14:15:00,10.8,9.2,7.2,0.182321557,4.736198448,5.886104031
SW-81520348,RIVER FOWEY AT HALFWAY HOUSE BRIDGE,2022-01-04T13:50:00,10.9,9,7.25,0,4.59511985,7.170119543
SW-81520350,RIVER FOWEY AT BODITHIEL BRIDGE,2022-01-04T13:00:00,11,9.1,7.28,0.182321557,4.615120517,6.835184586
SW-81522326,WARLEGGAN RIVER AT PANTERS BRIDGE,2022-01-04T12:00:00,11.2,8.9,7.01,0,4.48863637,2.890371758
SW-81520521,RIVER FOWEY AT DRAYNES BRIDGE,2022-01-04T10:56:00,10.9,8.7,6.87,0.336472237,4.343805422,4.700480366
SW-72920121,RIVER TORRIDGE AT BEAM BRIDGE,2022-01-04T10:55:00,10.9,9,7.58,2.028148247,5.129898715,5.438079309
NE-49705106,WHARFE AT ADDINGHAM,2021-12-15T13:59:00,12.5,7.9,8.17,0.641853886,5.616771098,5.075173815
NE-49705092,FIR BECK AT HAUGH BRIDGE,2021-12-15T13:17:00,11.9,8.4,8.08,0.336472237,5.541263545,4.941642423
NE-49700224,DIBB AT HARTLINGTON BRIDGE,2021-12-15T12:53:00,12.4,7,7.82,1.029619417,5.111987788,4.787491743
NE-49705101,BLEA BECK U/S GRIMWITH RESERVOIR,2021-12-15T12:16:00,12.5,6.4,6.37,1.064710737,3.465735903,2.302585093
SW-81520166,RIVER FOWEY AT RESTORMEL,2021-12-09T15:15:00,11.1,8.9,7.11,0.530628251,4.836281907,6.845879875
SW-81520205,RIVER FOWEY AT RESPRYN BRIDGE,2021-12-09T14:45:00,11,8.9,7.11,1.916922612,4.812184355,6.109247583
SW-81520348,RIVER FOWEY AT HALFWAY HOUSE BRIDGE,2021-12-09T14:15:00,10.7,8.8,6.95,0.262364264,4.700480366,6.363028104
SW-81520350,RIVER FOWEY AT BODITHIEL BRIDGE,2021-12-09T13:40:00,11.5,8.8,7.23,0.336472237,4.727387819,6.8134446
SW-81522725,ST NEOT RIVER AT ST NEOT BRIDGE,2021-12-09T13:05:00,11.4,9.2,6.6,0.530628251,4.584967479,5.438079309
SW-81522326,WARLEGGAN RIVER AT PANTERS BRIDGE,2021-12-09T12:45:00,11.7,8.5,6.88,0,4.532599493,3.80666249
SW-81520521,RIVER FOWEY AT DRAYNES BRIDGE,2021-12-09T11:25:00,11.4,7.3,6.47,0,4.356708827,4.276666119
SW-81523404,SIBLYBACK STREAM AT TREKEIVESTEPS BRIDGE,2021-12-09T11:05:00,11.9,6.2,6.87,0.78845736,4.276666119,4.59511985
SW-81520593,RIVER FOWEY AT HARROWBRIDGE,2021-12-09T10:50:00,11.1,7.5,6.58,0,4.382026635,4.49980967
SW-82528005,RIVER CAMEL AT POLBROCK,2021-12-07T15:01:00,9.72,9.2,7.18,3.610917913,5.036952602,9.126958763
AN-48M08,R.WISSEY ICKBURGH RD.BR.,2021-12-07T15:00:00,11.7,4.2,7.97,1.85629799,6.499787041,7.43838353
SW-82528110,RIVER CAMEL AT TRECARNE BRIDGE,2021-12-07T12:02:00,10.4,9.3,6.99,4.143134726,4.955827058,9.210340372
SW-82528154,RIVER CAMEL AT CAMELFORD BRIDGE,2021-12-07T11:04:00,10.8,9.1,7.17,4.418840608,4.983606622,8.71604405
SW-72920121,RIVER TORRIDGE AT BEAM BRIDGE,2021-12-07T10:12:00,12.2,7.5,8.09,2.186051277,5.170483995,7.003065459
SO-E0007051,SWALECLIFFE BROOK,2021-12-07T09:58:00,13.3,5,8.23,4.59511985,6.56526497,7.090076836
NW-88024649,DUBBS BECK U/S DUBBS RESERVOIR,2021-12-06T14:30:00,10.9,7.6,6.91,0,4.382026635,2.890371758
NW-88024648,DUBBS BECK AT CAPPLE HOWE IMPOUNDMENT,2021-12-06T13:55:00,12.6,4.4,7.32,0.262364264,4.304065093,2.302585093
NW-88023151,RIVER GOWAN @ STUBBINGS BRIDGE,2021-12-06T13:40:00,12.9,4.1,7.53,0.182321557,4.33073334,3.80666249
NW-88004397,RIVER KENT AT SEDGEWICK,2021-12-06T12:05:00,12.4,6.4,7.82,0.741937345,5.087596335,7.740664402
SW-70220159,RIVER AXE AT WHITFORD BRIDGE,2021-12-06T11:00:00,11.6,6.4,8.09,2.091864062,6.200509174,7.740664402
NW-88003872,RIVER WYRE AT ST MICHAELS,2021-12-01T10:51:00,11.3,7.2,7.38,4.158883083,5.111987788,8.699514748
MD-57464620,RIVER HAMPS - WINKHILL,2021-12-01T09:40:00,12.2,6.5,7.76,3.091042453,5.459585514,8.070906089
MD-57403450,RIVER MANIFOLD - ILAM,2021-12-01T09:13:00,11.9,7,7.73,3.433987204,5.505331536,8.070906089
MD-54520250,RIVER DOVE  DOVEDALE,2021-12-01T09:00:00,11.9,7.5,7.92,3.433987204,5.777652323,7.696212639
NW-88003872,RIVER WYRE AT ST MICHAELS,2021-11-30T11:50:00,12.1,6.4,7.7,1.871802177,5.513428746,7.696212639
NE-49705106,WHARFE AT ADDINGHAM,2021-11-16T15:28:00,11.6,9.3,8.18,0.530628251,5.710427017,5.347107531
NE-49705092,FIR BECK AT HAUGH BRIDGE,2021-11-16T14:41:00,11.4,9.2,8.1,0.182321557,5.624017506,5.347107531
AN-48M08,R.WISSEY ICKBURGH RD.BR.,2021-11-16T14:20:00,10.8,9.5,8,0.955511445,6.539585956,4.276666119
NE-49700224,DIBB AT HARTLINGTON BRIDGE,2021-11-16T14:19:00,11.5,9.1,7.82,0.832909123,4.934473933,6.086774727
NE-49705101,BLEA BECK U/S GRIMWITH RESERVOIR,2021-11-16T13:17:00,11.8,8.2,7.13,0.741937345,3.850147602,4.276666119
NW-88004397,RIVER KENT AT SEDGEWICK,2021-11-15T14:50:00,11,10.2,7.72,1.609437912,5.111987788,6.327936784
NW-88024649,DUBBS BECK U/S DUBBS RESERVOIR,2021-11-15T13:05:00,9.77,10.3,6.89,0,4.454347296,2.302585093
NW-88024648,DUBBS BECK AT CAPPLE HOWE IMPOUNDMENT,2021-11-15T12:30:00,10.8,9.1,7.23,0,4.317488114,3.583518938
NW-88023151,RIVER GOWAN @ STUBBINGS BRIDGE,2021-11-15T12:15:00,11,8.9,7.42,0.182321557,4.290459441,3.295836866
SW-81520166,RIVER FOWEY AT RESTORMEL,2021-11-09T15:45:00,10.2,11.7,7.16,0.262364264,4.709530201,5.480638923
SW-81520205,RIVER FOWEY AT RESPRYN BRIDGE,2021-11-09T15:15:00,10.3,11.6,7.21,0.530628251,4.691347882,5.669880923
SW-81520348,RIVER FOWEY AT HALFWAY HOUSE BRIDGE,2021-11-09T14:30:00,10.8,11.8,7.23,0.262364264,4.564348191,6.214608098
SW-81520350,RIVER FOWEY AT BODITHIEL BRIDGE,2021-11-09T14:15:00,10.6,11.8,7.23,0,4.59511985,5.966146739
SO-E0007051,SWALECLIFFE BROOK,2021-11-09T13:35:00,10.1,11.1,8.08,1.916922612,7.327123292,7.313220387
SW-81522725,ST NEOT RIVER AT ST NEOT BRIDGE,2021-11-09T13:25:00,10.6,11.8,6.77,0.405465108,4.521788577,3.80666249
SW-81522326,WARLEGGAN RIVER AT PANTERS BRIDGE,2021-11-09T12:55:00,10.9,11.6,6.96,0.09531018,4.454347296,2.890371758
SW-81520521,RIVER FOWEY AT DRAYNES BRIDGE,2021-11-09T11:35:00,10.2,11.1,6.54,0.09531018,4.317488114,4.787491743
SW-81523404,SIBLYBACK STREAM AT TREKEIVESTEPS BRIDGE,2021-11-09T11:20:00,11.1,10.7,6.79,0.641853886,4.234106505,3.988984047
SW-81520593,RIVER FOWEY AT HARROWBRIDGE,2021-11-09T11:00:00,10.3,11.1,6.22,0,4.304065093,4.49980967
SW-81020105,R YEALM AT PUSLINCH GAUGING STN,2021-11-08T11:21:00,11,10.5,8.04,1.335001067,6.118097198,6.745236349
SW-72920121,RIVER TORRIDGE AT BEAM BRIDGE,2021-11-08T09:35:00,10.7,9.9,7.55,2.014903021,5.111987788,7.003065459
MD-54520250,RIVER DOVE  DOVEDALE,2021-11-05T10:34:00,12.2,7.1,8.16,0.875468737,6.098074282,5.347107531
MD-57403450,RIVER MANIFOLD - ILAM,2021-11-05T10:10:00,10.4,8.4,7.54,1.064710737,5.993961427,6.040254711
MD-57464620,RIVER HAMPS - WINKHILL,2021-11-05T09:40:00,12.4,5.4,8.15,1.526056303,5.85220248,6.907755279
NW-88003872,RIVER WYRE AT ST MICHAELS,2021-11-03T11:10:00,8.8,8.7,7.14,3.258096538,5.278114659,8.517193191
SW-82528110,RIVER CAMEL AT TRECARNE BRIDGE,2021-11-02T12:38:00,9.61,10.9,7.05,1.280933845,4.927253685,6.907755279
SW-82528154,RIVER CAMEL AT CAMELFORD BRIDGE,2021-11-02T11:28:00,9.71,10.9,7.17,0.78845736,4.96284463,7.696212639
SW-82528005,RIVER CAMEL AT POLBROCK,2021-11-02T10:25:00,9.51,9.8,7.07,1.252762968,5.043425117,8.268731832
NW-88003872,RIVER WYRE AT ST MICHAELS,2021-10-29T09:25:00,9.56,12.2,8.37,2.772588722,5.267858159,9.392661929
SW-72920121,RIVER TORRIDGE AT BEAM BRIDGE,2021-10-26T09:15:00,10.8,11.8,7.44,1.824549292,5.164785974,6.672032945
AN-48M08,R.WISSEY ICKBURGH RD.BR.,2021-10-25T12:25:00,10.1,11.5,8.12,1.335001067,6.54534966,4.787491743
SW-70220159,RIVER AXE AT WHITFORD BRIDGE,2021-10-20T12:00:00,7.52,14.5,7.6,3.828641396,5.66296048,11.23848862
NE-49705106,WHARFE AT ADDINGHAM,2021-10-19T16:20:00,10.3,12.4,8.17,1.223775432,5.411646052,7.495541944
NE-49705092,FIR BECK AT HAUGH BRIDGE,2021-10-19T15:33:00,10.1,12.7,8.08,1.808288771,5.556828062,8.594154233
NE-49700224,DIBB AT HARTLINGTON BRIDGE,2021-10-19T15:14:00,9.97,13.2,7.98,1.280933845,4.983606622,8.188689124
NE-49705101,BLEA BECK U/S GRIMWITH RESERVOIR,2021-10-19T14:11:00,10.5,11.7,4.84,2.48490665,3.610917913,7.170119543
MD-57464620,RIVER HAMPS - WINKHILL,2021-10-19T08:57:00,9.98,12.6,7.95,2.63905733,5.768320996,8.648221454
SW-81520166,RIVER FOWEY AT RESTORMEL,2021-10-18T14:02:00,9.75,13.2,7.23,0.955511445,4.060443011,7.170119543
SW-81520205,RIVER FOWEY AT RESPRYN BRIDGE,2021-10-18T13:21:00,9.1,13.1,7.24,1.547562509,4.644390899,7.090076836
NW-88003872,RIVER WYRE AT ST MICHAELS,2021-10-18T12:55:00,10,12.2,7.56,2.041220329,5.252273428,7.901007052
SW-81520348,RIVER FOWEY AT HALFWAY HOUSE BRIDGE,2021-10-18T12:42:00,9.18,13.1,6.95,0.993251773,4.543294782,6.907755279
SW-81520350,RIVER FOWEY AT BODITHIEL BRIDGE,2021-10-18T12:03:00,10.6,13.3,7.34,1.16315081,4.543294782,6.82437367
SW-81522725,ST NEOT RIVER AT ST NEOT BRIDGE,2021-10-18T11:22:00,10.3,13.9,6.97,2.63905733,4.394449155,10.30895266
SW-81522326,WARLEGGAN RIVER AT PANTERS BRIDGE,2021-10-18T10:59:00,10.4,12.8,7.1,1.16315081,4.584967479,6.234410726
SW-81520521,RIVER FOWEY AT DRAYNES BRIDGE,2021-10-18T10:01:00,9.37,12.6,6.85,0.336472237,4.343805422,6.327936784
SW-81523404,SIBLYBACK STREAM AT TREKEIVESTEPS BRIDGE,2021-10-18T09:39:00,10.1,13.5,7.15,0.741937345,4.248495242,3.988984047
SW-81520593,RIVER FOWEY AT HARROWBRIDGE,2021-10-18T09:14:00,9.56,12.3,6.58,0.262364264,4.343805422,6.646390515
NW-88024649,DUBBS BECK U/S DUBBS RESERVOIR,2021-10-11T14:10:00,10.3,11.5,6.85,0,4.442651256,2.302585093
NW-88024648,DUBBS BECK AT CAPPLE HOWE IMPOUNDMENT,2021-10-11T13:40:00,10.7,12,7.25,0.09531018,4.356708827,4.143134726
NW-88023151,RIVER GOWAN @ STUBBINGS BRIDGE,2021-10-11T13:20:00,10.9,12,7.35,0.09531018,4.276666119,3.583518938
