sample.samplingPoint.notation,sample.samplingPoint.label,sample.sampleDateTime,Cond @ 25C,Oxygen Diss,Temp Water,pH,Turbidity,E.coli C-MF,Available
SW-81410203,EAST LOOE RIVER AT BEACH,2012-07-19T13:00:00,458,8.71,15.2,8.1,,290,5
NW-88003849,SPARTING BROOK @ FOOTPATH  BARTON OHFARM,2014-06-04T09:35:00,514,8.69,13.2,8.1,,290,5
SW-50904420,SHELL BAY NORTH (19600),2012-07-19T14:40:00,376,8.56,14.7,8.1,,290,5
NW-88003570,SAVICK BROOK PTC SANDY BROOK,2013-07-30T16:36:00,388,8.54,17.2,8.1,,290,5
SW-81610190,PAR RIVER U/S ST AUSTELL(NORTH) STW,2013-08-02T16:10:00,822,8.4,20.3,8.1,,290,5
NE-43300001,TYNE AT WYLAM BRIDGE,2001-07-24T09:30:00,262,8.25,17.8,8.1,,290,5
AN-INGMDR01,INGOLDMELLS MAIN DRAIN,2021-08-17T09:55:00,27750,8.24,16.3,8.1,,290,5
NW-88003935,WYRE NUMBER 16 BUOY,2007-07-03T13:00:00,45500,8.1,16,8.1,,290,5
NW-88004079,LUNE ESTUARY PLOVER SCAR,2007-07-30T11:34:00,45300,8.1,17,8.1,,290,5
SW-Z1020124,RIVER TRYM BADOCKS WOOD NORTH,2014-08-22T11:54:00,584,8.09,15.8,8.1,,290,5
AN-TUD070,R.TUD COSTESSEY PARK BRIDGE,2023-07-12T10:25:00,829,8.07,17.3,8.1,,290,5
SO-E0000038,JOSS BAY (12700),2024-09-23T11:10:00,1158,8.03,18.5,8.1,,288,5
NW-88022982,WELD ROAD SW-LH OUTFALL LOOKING SEAWARD,2012-02-20T13:30:00,791,7.94,6.7,8.1,,280,5
AN-DEB020,R.DEBEN A1120 RD.BR.ASHFIELD,2018-10-01T12:10:00,1474,7.91,9.5,8.1,,280,5
NW-88019978,NORTH WIRRAL EAST SHELLFISH @ SJ290 945,2004-07-22T14:21:00,48955,7.8,19.3,8.1,,280,5
NW-88004079,LUNE ESTUARY PLOVER SCAR,2007-08-13T11:58:00,48000,7.8,17.5,8.1,,280,5
SW-81910137,CARRICK ROADS SHELLFISH WATER,2012-01-24T10:15:00,1644,8.68,10.204,8.1,,240,5
SW-81913757,HELFORD RIVER SHELLFISH WATER SITE,2012-01-23T14:45:00,749,8.08,10.147,8.1,,240,5
NW-88004397,RIVER KENT AT SEDGEWICK,2022-03-07T14:20:00,185,13.5,5.8,8.1,,240,5
SW-50280344,HAMPSHIRE AVON AT AVON CAUSEWAY,2014-03-05T09:27:00,497,13.3,6.3,8.1,,240,5
AN-DEB026,EARL SOHAM W/C KENTISH TOWN.BR.(R.DEBEN),2013-04-17T12:28:00,905,13.1,10.2,8.1,,240,5
AN-DEB026,EARL SOHAM W/C KENTISH TOWN.BR.(R.DEBEN),2013-02-19T11:09:00,895,13.1,3,8.1,,240,5
NW-88004397,RIVER KENT AT SEDGEWICK,2023-03-07T13:35:00,220,12.9,6.8,8.1,,240,5
AN-DEB020,R.DEBEN A1120 RD.BR.ASHFIELD,2023-03-01T13:00:00,1506,12.8,5.9,8.1,,240,5
SO-E0001201,GREAT STOUR SPORTS GROUND L/W,2009-12-29T13:44:00,2333,12.3,5.51,8.1,,240,5
MD-51706250,RIVER WYE AT ASHWOOD PARK BUXTON,2018-11-19T13:00:00,375,12.3,7.7,8.1,,240,5
NW-88003571,SAVICK BROOK PTC EAVES BROOK,2023-12-05T10:02:00,425,12.2,5.7,8.1,,240,5
NW-88003872,RIVER WYRE AT ST MICHAELS,2019-01-03T12:30:00,243,12.2,4.5,8.1,,240,5
SW-72920121,RIVER TORRIDGE AT BEAM BRIDGE,2021-12-07T10:12:00,176,12.2,7.5,8.1,,240,5
AN-48M08,R.WISSEY ICKBURGH RD.BR.,2023-02-15T11:16:00,699,12.1,6.6,8.1,,240,5
MD-57464620,RIVER HAMPS - WINKHILL,2022-02-08T09:50:00,304,12.1,7.5,8.1,,240,5
AN-48M03,R.WISSEY N PICKENHAM RD.BR.HOUGHTON LANE,2022-02-15T10:15:00,700,11.7,5.2,8.1,,240,5
SW-50220110,"NADDER, BEMERTON",2014-12-04T12:55:00,567,11.7,7.1,8.1,,240,5
AN-ALD020,R.ALDE FARNHAM BRIDGE,2015-01-09T09:55:00,713,11.6,6.7,8.1,,240,5
AN-DEB085,R.DEBEN NAUNTON HALL GAUGING STATION,2015-01-09T11:32:00,672,11.6,7.4,8.1,,240,5
SW-50210209,HAMPSHIRE AVON AT STR SUB CASTLE,2014-12-04T13:21:00,612,11.6,7,8.1,,240,5
SW-70220159,RIVER AXE AT WHITFORD BRIDGE,2021-12-06T11:00:00,493,11.6,6.4,8.1,,240,5
SW-50220136,RIVER NADDER AT WILTON,2014-12-04T12:22:00,565,11.5,7.2,8.1,,240,5
AN-DEB020,R.DEBEN A1120 RD.BR.ASHFIELD,2024-03-20T12:26:00,883,11.4,11.8,8.1,,240,5
AN-BL1030,FINCHINGFIELD BK.U/S OF R.PANT CONF.,2023-12-13T11:12:00,646,11.4,7.4,8.1,,240,5
NW-88003108,YELLOW BROOK PTC RIVER DOUGLAS,2012-10-30T16:30:00,1212,11.3,8.5,8.1,,240,5
SO-E0007027,HARMERS RESERVOIR U/S,2014-03-10T13:15:00,654,11.2,10.6,8.1,,240,5
SO-E0004889,"ROSE LANE, BISHOPSBOURNE",2014-03-31T14:02:00,653,11.2,12,8.1,,240,5
AN-BL06,R.BLACKWATER STISTED MILL,2023-12-13T13:10:00,641,11.2,7.7,8.1,,240,5
MD-57464620,RIVER HAMPS - WINKHILL,2022-11-07T12:45:00,322,11.1,9.9,8.1,,240,5
NW-88003867,WOODPLUMPTON BROOK PTC BARTON BROOK,2021-05-06T15:04:00,629,11,9.9,8.1,,240,5
AN-TUD070,R.TUD COSTESSEY PARK BRIDGE,2022-10-03T10:57:00,840,10.9,10.6,8.1,,240,5
SO-E0007094,"RAILWAY BRIDGE, BEKESBOURNE",2014-03-10T13:59:00,656,10.8,11.2,8.1,,240,5
NW-88024271,ARCLID BK @ ARCLID BRIDGE,2023-02-17T13:15:00,567,10.8,9.4,8.1,,240,5
SW-50590127,RIVER FROME AT HOLME BRIDGE,2023-03-17T12:40:00,513,10.8,11.6,8.1,,240,5
NW-88024604,LEIGHTON MOSS - MAIN DYKE,2019-04-03T09:20:00,416,10.7,8.5,8.1,,240,5
SW-50240116,RIVER BOURNE AT LAVERSTOCK,2015-10-16T12:30:00,548,10.5,10.8,8.1,,240,5
MD-54520250,RIVER DOVE  DOVEDALE,2023-08-14T10:18:00,503,10.5,12.5,8.1,,240,5
NW-88022980,SANDY BROOK PTC SAVICK BROOK,2017-04-04T10:39:00,586,10.3,9.7,8.1,,240,5
NE-45600236,TRIB OF SALTBURN GILL D/S BROTTON TK CSO,2013-09-18T10:34:00,1161,10.1,9.5,8.1,,240,5
NE-41000035,TILL AT DODDINGTON BRIDGE,2023-10-04T07:30:00,259,10.1,11.2,8.1,,240,5
AN-CH03,R.CHELMER LT.BADDOW MILL,2024-10-03T11:42:00,673,10,13.2,8.1,,240,5
SW-50280476,AVON AT RINGWOOD DS SUBSTATION,2014-04-04T10:10:00,561,10,11.6,8.1,,240,5
AN-TUD070,R.TUD COSTESSEY PARK BRIDGE,2022-10-12T12:03:00,844,9.97,9,8.1,,240,5
SW-50280476,AVON AT RINGWOOD DS SUBSTATION,2015-10-16T10:40:00,555,9.92,10.4,8.1,,240,5
SW-70231430,FORTON BROOK U/S TATWORTH STW,2022-10-25T11:40:00,508,9.88,11.9,8.1,,240,5
NW-88004470,RIVER KEER AT WASH DUB WOOD,2013-08-05T12:36:00,129,9.81,16,8.1,,240,5
NW-88009869,WALNEY BIGGAR BANK AT BIGGAR BANK 44200,2022-07-15T11:00:00,444,9.68,14.6,8.1,,240,5
NE-49000700,ESK AT BRIGGSWATH FOOTBRIDGE,2022-08-15T13:14:00,308,9.63,19.4,8.1,,240,5
TH-PRTS0041,MANOR LAKE,2022-06-27T14:32:00,650,9.56,20.5,8.1,,240,5
SW-50220136,RIVER NADDER AT WILTON,2014-10-02T10:27:00,555,9.55,13.7,8.1,,240,5
SO-G0003619,BEAULIEU RIVER-SHELLFISH WATER,2010-12-01T09:42:00,34163,9.35,6.944,8.1,,240,5
SW-50280476,AVON AT RINGWOOD DS SUBSTATION,2013-09-30T17:17:00,558,9.34,14.9,8.1,,240,5
TH-PRTS0051,"ABBEY RIVER, D/S INTERSECTION",2024-02-15T10:22:00,550,9.18,9.6,8.1,,240,5
NW-88003867,WOODPLUMPTON BROOK PTC BARTON BROOK,2019-08-08T15:20:00,572,9.07,18.1,8.1,,240,5
NW-88004996,HAVERIGG POOL AT HAVERIGG,2021-07-26T14:00:00,50151,8.87,20.1,8.099,,240,5
SO-G0003658,HOEFORD LAKE NEAR FLEETLANDS,2023-09-25T14:33:00,798,8.8,17.2,8.098,,240,5
TH-PRTS0057,THAMES U/S OF SPELTHORNE CHANNEL INTAKE,2022-08-24T09:43:00,790,8.74,21.2,8.098,,240,5
AN-33M30,SHEEPS GREEN R.CAM,2024-07-06T10:31:00,783,8.64,15,8.098,,240,5
AN-TUD070,R.TUD COSTESSEY PARK BRIDGE,2024-08-07T12:21:00,828,8.6,16.5,8.097,,240,5
AN-WELL280T,R.WELLAND TINWELL PUMPING STATION,2015-10-28T10:30:00,856,8.52,10.9,8.097,,240,5
SW-50024507,DURLEY CHINE (19150),2015-06-16T13:50:00,968,8.5,16.3,8.097,,240,5
AN-33M30,SHEEPS GREEN R.CAM,2024-08-11T10:02:00,830,8.36,17.3,8.096,,240,5
SW-70510164,RH (SMALLER) PIPE-SANDY BAY STREAM,2022-07-20T13:48:00,131,8.31,20.6,8.096,,240,5
SO-G0003677,APPROACHES SOTON WATER-SFW,2009-08-26T13:39:00,52590,7.01,19.23,8.092,,240,5
SW-50044448,SANDSFOOT CASTLE (20900),2013-05-29T14:03:00,2479,4.07,9.8,8.091,,240,5
NW-88022980,SANDY BROOK PTC SAVICK BROOK,2016-12-05T11:51:00,600,13.6,4.4,8.09,,230,5
SO-E0007120,"SHUTTLEFIELDS LANE, OTTINGE",2014-03-17T11:47:00,676,13.5,11.2,8.09,,230,5
AN-DEB030,R.DEBEN BRANDESTON BR.CRETINGHAM,2013-02-19T11:39:00,872,13.3,3.2,8.09,,230,5
SW-50220110,"NADDER, BEMERTON",2014-03-05T12:17:00,559,12.9,8.1,8.09,,230,5
NW-88003867,WOODPLUMPTON BROOK PTC BARTON BROOK,2013-03-20T12:10:00,640,12.5,5.1,8.09,,230,5
NE-43400033,DERWENT AT CLOCKBURN DRIFT,2000-03-13T10:55:00,575,12.5,8.9,8.09,,230,5
SW-70220119,RIVER AXE U/S COLYTON STW,2021-12-06T10:39:00,431,12.5,6,8.09,,230,5
SO-G0003625,HERMITAGE STREAM - NEW ROAD,2014-04-08T12:14:00,426,12.5,11.1,8.09,,230,5
AN-DEB026,EARL SOHAM W/C KENTISH TOWN.BR.(R.DEBEN),2023-03-15T13:30:00,877,12.4,6.3,8.09,,230,5
NE-42100210,SOUTH LOW U/S CAUSEWAY,2017-03-17T10:50:00,11478,12.3,7.6,8.09,,230,5
AN-LUDO9,LOUTH CANAL TETNEY LOCK,2023-01-17T11:10:00,788,12,3.9,8.09,,230,5
NE-49705092,FIR BECK AT HAUGH BRIDGE,2021-12-15T13:17:00,255,11.9,8.4,8.09,,230,5
SO-F0003416,HAMBROOK FARM LANE FORD,2020-02-07T12:01:00,661,11.8,6.8,8.09,,230,5
AN-DEB020,R.DEBEN A1120 RD.BR.ASHFIELD,2023-02-03T12:35:00,1127,11.7,7.8,8.09,,230,5
AN-DEB030,R.DEBEN BRANDESTON BR.CRETINGHAM,2015-01-09T12:06:00,758,11.6,6.8,8.09,,230,5
MD-51704300,RIVER WYE AT MILLERS DALE,2020-01-29T12:55:00,595,11.6,7.1,8.09,,230,5
NW-88003869,OLD RIVER BROCK PTC NEW DRAUGHT,2017-04-12T10:30:00,17312,11.5,8.9,8.09,,230,5
MD-51704300,RIVER WYE AT MILLERS DALE,2019-03-28T11:47:00,575,11.5,8.8,8.09,,230,5
NW-88003843,RIVER BROCK AT A6 ROAD  BRIDGE,2013-05-28T10:08:00,281,11.5,9.9,8.09,,230,5
SW-50250634,RIVER WYLYE AT B3095 BRIDGE,2015-05-21T14:32:00,557,11.3,14.2,8.09,,230,5
SW-70240223,RIVER YARTY AT BECKFORD BRIDGE,2023-10-16T13:05:00,428,11.3,9.8,8.09,,230,5
NE-49700249,WHARFE AT GRASSINGTON B6265 BRIDGE,2023-07-29T10:03:00,259,11.2,12.8,8.09,,230,5
NE-49700245,WHARFE AT BURNSALL BRIDGE,2023-08-03T11:37:00,212,11.2,12.2,8.09,,230,5
NW-88003842,RIVER BROCK AT BROCK MILL,2014-04-04T14:49:00,211,11.2,9.8,8.09,,230,5
NE-49700245,WHARFE AT BURNSALL BRIDGE,2023-09-20T11:37:00,214,11.1,12.9,8.09,,230,5
NW-88003135,DEAN BROOK PTC DOUGLAS,2012-10-15T17:45:00,401.9,10.9,9.5,8.09,,230,5
SW-50250102,RIVER EBBLE D/S LONGFORD FISH FARM,2013-11-25T14:30:00,542,10.8,7.8,8.09,,230,5
SW-50220110,"NADDER, BEMERTON",2014-04-04T12:17:00,531,10.8,11.1,8.09,,230,5
NW-88024607,LEIGHTON MOSS - LILIANS,2022-03-16T08:55:00,415,10.7,7.8,8.09,,230,5
NE-49705001,WHARFE AT ILKLEY STEPPING STONES,2023-09-20T13:13:00,199,10.7,13.4,8.09,,230,5
SO-E0004889,"ROSE LANE, BISHOPSBOURNE",2014-03-24T13:04:00,652,10.6,11.2,8.09,,230,5
SO-G0003658,HOEFORD LAKE NEAR FLEETLANDS,2023-12-06T12:30:00,751,10.5,10.7,8.09,,230,5
SO-E0004890,SCHOOL LANE BEKESBOURNE,2014-04-14T13:51:00,652,10.4,12.2,8.09,,230,5
AN-DEB026,EARL SOHAM W/C KENTISH TOWN.BR.(R.DEBEN),2024-01-03T10:50:00,628,10.4,8.1,8.09,,230,5
SW-81010221,NEWTON STREAM AT BRIDGEND (U/S TRIBS),2019-01-04T10:55:00,604,10.4,8.5,8.09,,230,5
NW-88023032,"COTE BECK, CHURCH STREET, U/S R LUNE",2013-05-30T14:16:00,532,10.2,11.7,8.09,,230,5
SO-E0007051,SWALECLIFFE BROOK,2021-11-09T13:35:00,1521,10.1,11.1,8.09,,230,5
SO-E0004891,SEATON ROAD SEATON,2014-03-31T15:50:00,651,10.1,12.1,8.09,,230,5
NE-49705092,FIR BECK AT HAUGH BRIDGE,2021-10-19T15:33:00,259,10.1,12.7,8.09,,230,5
SO-F0003103,ALEXANDRA STREAM OUTFALL,2015-05-21T10:35:00,748,10,11.8,8.09,,230,5
AN-ORM010E,ORMESBY BROAD EDGE,2007-06-22T12:26:00,631,10,21.67,8.09,,230,5
SW-E2241100,PETHERTON STREAM AT MOTORWAY BRIDGE,2012-08-07T13:50:00,310,10,14.3,8.09,,230,5
SW-70811815,COMBE STREAM AT SALCOMBE SOUTH SANDS,2024-09-10T14:43:00,620,9.97,14.7,8.09,,230,5
SW-50240116,RIVER BOURNE AT LAVERSTOCK,2015-07-01T11:02:00,544,9.88,18.2,8.09,,230,5
SW-C0538000,HOOKE MAIDEN NEWTON,2023-10-11T11:34:00,526,9.59,14.3,8.09,,230,5
NE-41000035,TILL AT DODDINGTON BRIDGE,2023-07-03T07:21:00,579,9.56,13.5,8.09,,230,5
TH-PRTS0014,KINGSMEAD ISLAND LAKE,2021-06-29T11:16:00,670,9.4,19.6,8.09,,230,5
AN-62M01,R.OUSE THE POINT KINGS LYNN,2010-06-23T18:25:00,33968,9.39,19.09,8.09,,230,5
SW-81310252,R SEATON D/S TROUTS MILL,2012-08-15T14:10:00,407,9.35,16.7,8.09,,230,5
AN-TUD070,R.TUD COSTESSEY PARK BRIDGE,2024-10-09T12:22:00,718,9.15,13.4,8.09,,230,5
NW-88023220,SEASCALE BLACK PIPE,2017-07-13T14:51:00,492,9.1,14.9,8.09,,230,5
AN-CH03,R.CHELMER LT.BADDOW MILL,2024-09-09T12:40:00,890,9.09,17.5,8.09,,230,5
AN-LUDO9,LOUTH CANAL TETNEY LOCK,2023-11-09T09:25:00,862,9.04,8.7,8.09,,230,5
NE-49000232,ROBIN HOODS BAY (07200),2023-05-11T14:08:00,1035,8.99,14.8,8.09,,230,5
TH-PGWB0002,BATHING WTR-HAMPSTEAD MENS POND (11920),2019-06-10T11:52:00,645,8.63,15.1,8.09,,230,5
SW-73115135,ILFRACOMBE (HELE) BEACH (34600),2015-09-08T15:00:00,27501,8.54,14.6,8.09,,230,5
NW-88000056,MISC SEWAGE DISCHARGES RIBBLE/DOUGLAS,2023-06-30T12:17:00,46738,8.12,17.3,8.09,,230,5
AN-62M01,R.OUSE THE POINT KINGS LYNN,2011-07-07T10:01:00,48345,7.38,17.964,8.088,,230,5
SW-50034689,BOWLEAZE COVE (20400),2012-08-21T12:30:00,554.3,4.89,15.1,8.083,,230,5
AN-DEB020,R.DEBEN A1120 RD.BR.ASHFIELD,2014-04-02T12:12:00,1111,14.9,11.7,8.08,,220,5
SO-E0004887,NARGATE STREET LITTLEBOURNE,2014-03-17T16:05:00,649,13.4,11.5,8.08,,220,5
NW-88003843,RIVER BROCK AT A6 ROAD  BRIDGE,2013-11-25T11:08:00,241,13.3,3.3,8.08,,220,5
SW-50210209,HAMPSHIRE AVON AT STR SUB CASTLE,2014-03-05T11:51:00,569,13,7.9,8.08,,220,5
NE-49000700,ESK AT BRIGGSWATH FOOTBRIDGE,2023-12-12T12:00:00,146,12.7,6.3,8.08,,220,5
SO-E0007125,HIGH STREET LITTLEBOURNE,2014-03-24T14:31:00,644,12.4,11.1,8.08,,220,5
SW-70220159,RIVER AXE AT WHITFORD BRIDGE,2023-12-01T12:25:00,441,12.4,4.8,8.08,,220,5
SO-E0004889,"ROSE LANE, BISHOPSBOURNE",2014-03-17T14:20:00,648,12.3,11.7,8.08,,220,5
AN-ALD020,R.ALDE FARNHAM BRIDGE,2024-02-07T11:01:00,590,12.3,7.4,8.08,,220,5
SO-E0007124,"FROG LANE, BISHOPSBOURNE",2014-03-17T14:38:00,648,12,11.8,8.08,,220,5
NE-42100210,SOUTH LOW U/S CAUSEWAY,2017-01-17T13:40:00,4305,11.8,7.5,8.08,,220,5
AN-TUD070,R.TUD COSTESSEY PARK BRIDGE,2023-12-06T12:38:00,801,11.8,5.8,8.08,,220,5
SO-E0007123,BLACK ROBIN LANE KINGSTON,2014-03-17T14:15:00,649,11.8,12,8.08,,220,5
AN-LUDO9,LOUTH CANAL TETNEY LOCK,2024-05-08T12:45:00,694,11.7,16.6,8.08,,220,5
SW-50590127,RIVER FROME AT HOLME BRIDGE,2023-02-01T12:22:00,558,11.7,8,8.08,,220,5
SW-50280344,HAMPSHIRE AVON AT AVON CAUSEWAY,2011-12-06T14:10:00,538,11.7,6.76,8.08,,220,5
NW-88003867,WOODPLUMPTON BROOK PTC BARTON BROOK,2014-03-06T13:40:00,501,11.7,8.7,8.08,,220,5
AN-DEB026,EARL SOHAM W/C KENTISH TOWN.BR.(R.DEBEN),2020-02-14T11:15:00,885,11.6,6,8.08,,220,5
SO-E0007093,ST HELENS RD OUTFALL,2016-02-18T12:25:00,795,11.6,8.2,8.08,,220,5
NW-88023032,"COTE BECK, CHURCH STREET, U/S R LUNE",2014-01-08T09:11:00,434,11.6,8.1,8.08,,220,5
AN-ORM010E,ORMESBY BROAD EDGE,2007-02-23T10:13:00,7.52,11.6,8.18,8.08,,220,5
MD-51705100,RIVER WYE AT TOPLEY PIKE,2019-01-10T13:50:00,530,11.5,7.9,8.08,,220,5
AN-DEB026,EARL SOHAM W/C KENTISH TOWN.BR.(R.DEBEN),2020-01-23T12:00:00,990,11.4,6.3,8.08,,220,5
AN-TUD070,R.TUD COSTESSEY PARK BRIDGE,2024-11-28T12:10:00,798,11.4,6.1,8.08,,220,5
SW-50280344,HAMPSHIRE AVON AT AVON CAUSEWAY,2016-02-04T15:43:00,551,11.4,8.6,8.08,,220,5
AN-DEB026,EARL SOHAM W/C KENTISH TOWN.BR.(R.DEBEN),2020-02-17T13:32:00,780,11.3,6.9,8.08,,220,5
SW-50570251,RIVER FROME U/S DORCHESTER STW,2023-03-17T11:33:00,477,11.3,10.9,8.08,,220,5
SW-70230122,RIVER AXE AT BROOM,2023-03-21T11:35:00,394,11.2,10.3,8.08,,220,5
SW-81020105,R YEALM AT PUSLINCH GAUGING STN,2023-03-17T10:33:00,389,11.2,10,8.08,,220,5
SW-82610106,TREBARWITH STM @ MILL HOUSE CAR PARK,2021-06-03T09:55:00,239,11.2,11.4,8.08,,220,5
NW-88003842,RIVER BROCK AT BROCK MILL,2015-11-05T11:47:00,235,11.2,10.6,8.08,,220,5
AN-DEB026,EARL SOHAM W/C KENTISH TOWN.BR.(R.DEBEN),2024-03-06T11:09:00,802,11.1,7.8,8.08,,220,5
SO-E0004890,SCHOOL LANE BEKESBOURNE,2014-03-24T13:45:00,652,11.1,10.4,8.08,,220,5
NW-88023520,MILL BECK AT FOOTBRIDGE BELOW GILL COTT,2024-06-13T14:41:00,158,11,11.8,8.08,,220,5
AN-ORE040,R.ORE BEVERSHAM BRIDGE,2023-05-17T13:05:00,986,10.8,13.8,8.08,,220,5
SO-E0007093,ST HELENS RD OUTFALL,2015-02-19T11:40:00,828,10.8,8.7,8.08,,220,5
AN-DEB026,EARL SOHAM W/C KENTISH TOWN.BR.(R.DEBEN),2023-12-13T12:01:00,758,10.8,7.9,8.08,,220,5
SW-70231430,FORTON BROOK U/S TATWORTH STW,2022-11-18T10:55:00,433,10.8,10,8.08,,220,5
AN-48M09,R.WISSEY DIDLINGTON LODGE RD.BR.NORTHWOL,2021-11-16T14:50:00,692,10.7,9.4,8.08,,220,5
AN-DEB085,R.DEBEN NAUNTON HALL GAUGING STATION,2013-04-29T12:52:00,927,10.6,11.7,8.08,,220,5
AN-62M01,R.OUSE THE POINT KINGS LYNN,2012-02-21T17:57:00,48613,10.5,4.97,8.08,,220,5
SO-E0007123,BLACK ROBIN LANE KINGSTON,2014-03-31T13:49:00,650,10.5,12.3,8.08,,220,5
AN-DEB026,EARL SOHAM W/C KENTISH TOWN.BR.(R.DEBEN),2024-02-15T10:15:00,778,10.4,9.9,8.08,,220,5
AN-ORE040,R.ORE BEVERSHAM BRIDGE,2024-02-22T12:51:00,695,10.4,9,8.08,,220,5
AN-TRUSTHRP,TRUSTHORPE PUMP DRAIN LOWER,2023-05-04T11:35:00,1826,10.3,12.5,8.08,,220,5
AN-TRUSTHRP,TRUSTHORPE PUMP DRAIN LOWER,2024-03-11T10:40:00,1826,10.3,8.2,8.08,,220,5
SO-E0004891,SEATON ROAD SEATON,2014-04-22T13:39:00,648,10.2,13.1,8.08,,220,5
SW-50250634,RIVER WYLYE AT B3095 BRIDGE,2013-08-30T14:39:00,561,10.2,18.5,8.08,,220,5
AN-DEB020,R.DEBEN A1120 RD.BR.ASHFIELD,2023-11-23T13:20:00,917,10.1,9.4,8.08,,220,5
SW-50220136,RIVER NADDER AT WILTON,2014-06-02T10:44:00,549,10.1,13.9,8.08,,220,5
AN-ALD020,R.ALDE FARNHAM BRIDGE,2020-01-15T13:18:00,882,10,8.6,8.08,,220,5
NW-88022980,SANDY BROOK PTC SAVICK BROOK,2014-10-03T15:00:00,515,9.97,13.9,8.08,,220,5
NE-45500283,THE STELL BEACH OUTFALL 1,2013-05-29T13:40:00,13898,9.95,10.4,8.08,,220,5
NW-88003570,SAVICK BROOK PTC SANDY BROOK,2017-05-15T12:55:00,325,9.92,12,8.08,,220,5
AN-48M03,R.WISSEY N PICKENHAM RD.BR.HOUGHTON LANE,2021-10-25T13:57:00,741,9.91,12.2,8.08,,220,5
AN-BL1030,FINCHINGFIELD BK.U/S OF R.PANT CONF.,2023-10-18T10:25:00,778,9.9,11.2,8.08,,220,5
NW-88004397,RIVER KENT AT SEDGEWICK,2022-07-27T10:40:00,189,9.87,15.9,8.08,,220,5
SO-F0001928,SELSEY EC BW (15900),2014-05-19T15:26:00,654,9.78,16.8,8.08,,220,5
SW-81020408,LONG BROOK AT YEALM BRIDGE,2015-07-08T13:19:00,4858,9.74,14.5,8.08,,220,5
AN-62M01,R.OUSE THE POINT KINGS LYNN,2014-12-03T14:32:00,1749.9,9.72,7.71,8.08,,220,5
SW-81610138,PAR RIVER AT A3082 BRIDGE,2012-09-10T14:05:00,303.2,9.52,15.7,8.08,,220,5
SW-50220136,RIVER NADDER AT WILTON,2013-10-28T14:21:00,227.1,9.51,12.7,8.08,,220,5
SW-E2241100,PETHERTON STREAM AT MOTORWAY BRIDGE,2012-08-22T13:32:00,318,9.48,15.6,8.08,,220,5
NE-45600250,CHAPEL BECK U/S HUTTON LANE,2013-09-18T12:30:00,1208,9.22,11.8,8.08,,220,5
MD-57464620,RIVER HAMPS - WINKHILL,2023-09-05T09:05:00,426,9.16,14,8.08,,220,5
NW-88004480,SWARTH BECK PTC RIVER KEER,2024-06-27T09:05:00,338,9.14,15.8,8.08,,220,5
AN-DEB020,R.DEBEN A1120 RD.BR.ASHFIELD,2019-09-03T09:30:00,1049,9.06,13.2,8.08,,220,5
TH-PGWL0214,"PRINCESS DIANA FOUNTAIN, HYDE PARK",2024-05-17T12:07:00,1469,9.04,16.7,8.08,,220,5
NW-88003872,RIVER WYRE AT ST MICHAELS,2024-08-19T11:09:00,314,8.98,15.8,8.08,,220,5
SW-70230122,RIVER AXE AT BROOM,2022-08-16T11:45:00,532,8.89,18,8.08,,220,5
SO-G0003677,APPROACHES SOTON WATER-SFW,2008-05-08T10:11:00,39300,8.8,13.5,8.08,,220,5
AN-ORE040,R.ORE BEVERSHAM BRIDGE,2023-05-11T15:00:00,837,8.53,16.2,8.079,,220,5
SW-81214745,TREGONHAWKE (26560),2024-08-20T12:20:00,820,8.4,19.1,8.078,,220,5
SO-E0000042,BROADSTAIRS STONE BAY (12750),2015-08-11T11:15:00,573,8.4,14,8.078,,220,5
SW-50280476,AVON AT RINGWOOD DS SUBSTATION,2013-09-05T10:13:00,561,8.25,17.5,8.076,,220,5
NE-42100238,COCKLE RIDGE REED BED OUTFLOW,2016-11-03T13:32:00,816,8.18,8.1,8.074,,220,5
AN-WELL280T,R.WELLAND TINWELL PUMPING STATION,2014-07-10T10:09:00,812,8.11,16.4,8.074,,220,5
SO-E0001201,GREAT STOUR SPORTS GROUND L/W,2010-05-21T09:56:00,26092,8.1,15.52,8.073,,220,5
AN-WELL280T,R.WELLAND TINWELL PUMPING STATION,2016-05-16T08:36:00,777,7.95,12.6,8.073,,220,5
AN-WINGWTWR,WING WATER TREATMENT WORKS RAW WATER,2007-07-26T10:30:00,634,7.76,17.23,8.071,,220,5
SW-81914873,MAENPORTH BEACH (28800),2023-08-09T10:35:00,945,7.57,15.9,8.071,,220,5
AN-CL0488,R.COLNE STATION RD BRIDGE C. ENGAINE,2022-07-07T13:24:00,959,7.27,16.6,8.07,,220,5
TH-PRTS0048,ABBEY LAKE,2019-06-12T12:40:00,571,8.67,17.8,8.07,,210,5
NE-42100210,SOUTH LOW U/S CAUSEWAY,2016-12-05T13:45:00,5960,12.9,5,8.07,,210,5
SO-E0007051,SWALECLIFFE BROOK,2020-02-03T10:08:00,524,12.6,8.2,8.07,,210,5
NW-88025802,NATLAND BECK AT NATLAND ROAD BRIDGE,2022-03-07T13:50:00,264,12.6,6.7,8.07,,210,5
AN-DEB026,EARL SOHAM W/C KENTISH TOWN.BR.(R.DEBEN),2015-03-06T11:42:00,898,12.4,6.5,8.07,,210,5
AN-48M06,R.WISSEY LINGHILLS FARM BRIDGE AND FORD,2022-03-08T12:40:00,742,12.4,7,8.07,,210,5
